flex_1,flex_2,flex_3,flex_4,flex_5,Qw,Qx,Qy,Qz,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz,ACCx_real,ACCy_real,ACCz_real,ACCx_world,ACCy_world,ACCz_world,GRAx,GRAy,GRAz,ACCx_raw,ACCy_raw,ACCz_raw,GYRx_raw,GYRy_raw,GYRz_raw
2896.0,2807.0,2875.0,3121.0,3024.0,0.992981,-0.047974,-0.107727,0.00116,0.0,-1.0,0.0,2002.0,-901.0,7764.0,250.0,-118.0,-199.0,285.0,-133.0,-128.0,0.213831,-0.095524,0.972106,4016.0,-1848.0,15520.0,3.0,-1.0,7.0
2895.0,2807.0,2874.0,3123.0,3024.0,0.992981,-0.048035,-0.107849,0.001221,0.0,0.0,0.0,2004.0,-900.0,7759.0,250.0,-116.0,-204.0,286.0,-131.0,-133.0,0.214067,-0.095658,0.972074,4012.0,-1790.0,15486.0,5.0,1.0,6.0
2897.0,2805.0,2867.0,3067.0,3024.0,0.99292,-0.048096,-0.108093,0.001282,0.0,-1.0,0.0,1994.0,-893.0,7759.0,236.0,-108.0,-202.0,272.0,-123.0,-135.0,0.214533,-0.095787,0.971894,3982.0,-1790.0,15522.0,2.0,0.0,4.0
2895.0,2807.0,2871.0,3123.0,3023.0,0.99292,-0.048157,-0.108215,0.001282,-1.0,-1.0,0.0,1996.0,-895.0,7761.0,236.0,-109.0,-200.0,272.0,-124.0,-133.0,0.214775,-0.095909,0.971862,3986.0,-1812.0,15522.0,-1.0,-2.0,4.0
2896.0,2807.0,2871.0,3123.0,3023.0,0.99292,-0.048279,-0.108521,0.001343,0.0,-1.0,0.0,2002.0,-898.0,7744.0,237.0,-110.0,-216.0,277.0,-127.0,-148.0,0.215375,-0.096165,0.971784,4008.0,-1766.0,15426.0,1.0,0.0,3.0
2893.0,2807.0,2871.0,3121.0,3023.0,0.992859,-0.04834,-0.108643,0.001343,-1.0,-1.0,0.0,2005.0,-897.0,7741.0,238.0,-108.0,-218.0,278.0,-125.0,-150.0,0.215604,-0.096281,0.971631,4046.0,-1768.0,15428.0,0.0,-1.0,2.0
2896.0,2806.0,2871.0,3123.0,3027.0,0.992859,-0.048462,-0.108948,0.001343,0.0,-1.0,0.0,2010.0,-893.0,7734.0,238.0,-102.0,-224.0,280.0,-119.0,-156.0,0.216209,-0.096524,0.971552,4098.0,-1812.0,15400.0,2.0,0.0,2.0
2896.0,2807.0,2871.0,3121.0,3025.0,0.992798,-0.048523,-0.10907,0.001343,0.0,0.0,0.0,2014.0,-893.0,7730.0,240.0,-101.0,-227.0,282.0,-119.0,-158.0,0.216438,-0.09664,0.971399,4040.0,-1784.0,15460.0,6.0,3.0,3.0
2895.0,2803.0,2871.0,3121.0,3023.0,0.992798,-0.048523,-0.109253,0.001404,0.0,0.0,0.0,2012.0,-894.0,7733.0,236.0,-102.0,-224.0,278.0,-119.0,-156.0,0.216796,-0.096654,0.971359,4000.0,-1760.0,15502.0,9.0,5.0,6.0
2894.0,2803.0,2874.0,3122.0,3021.0,0.992798,-0.048584,-0.109375,0.001465,0.0,0.0,0.0,2005.0,-892.0,7744.0,227.0,-99.0,-213.0,267.0,-115.0,-148.0,0.217032,-0.096789,0.971326,4000.0,-1786.0,15534.0,7.0,6.0,4.0
2897.0,2809.0,2875.0,3121.0,3023.0,0.992737,-0.048645,-0.109558,0.001465,0.0,0.0,0.0,2008.0,-892.0,7748.0,227.0,-98.0,-207.0,265.0,-114.0,-142.0,0.217382,-0.096904,0.971159,3960.0,-1808.0,15500.0,4.0,3.0,5.0
2896.0,2803.0,2867.0,3121.0,3027.0,0.992737,-0.048645,-0.10968,0.001526,0.0,0.0,0.0,2003.0,-889.0,7751.0,220.0,-95.0,-204.0,258.0,-111.0,-141.0,0.217619,-0.096918,0.971133,3994.0,-1736.0,15534.0,4.0,2.0,3.0
2895.0,2800.0,2871.0,3123.0,3023.0,0.992737,-0.048706,-0.109924,0.001526,0.0,0.0,0.0,1999.0,-888.0,7761.0,212.0,-93.0,-194.0,248.0,-108.0,-133.0,0.218103,-0.09704,0.971073,3948.0,-1752.0,15556.0,3.0,1.0,3.0
2895.0,2806.0,2871.0,3120.0,3025.0,0.992676,-0.048767,-0.110046,0.001587,-1.0,-1.0,0.0,1998.0,-888.0,7763.0,209.0,-91.0,-190.0,244.0,-105.0,-130.0,0.218326,-0.097169,0.970919,3990.0,-1782.0,15542.0,0.0,-4.0,4.0
